Date,Egg-masses,Larves,Temp,RH,Year,Count,LastMasses,LastLarves
11/5,0,9,24,47.4,2015,1,0,0
18/5,6,11,23.8,50.4,2015,2,9,0
25/5,3,192,27.2,39.4,2015,3,11,6
1/6,9,240,26.5,40.2,2015,4,192,3
8/6,9,500,26.1,48.2,2015,5,240,9
15/6,12,552,25.8,55,2015,6,500,9
22/6,15,436,28.2,47,2015,7,552,12
29/6,27,580,27.2,48.1,2015,8,436,15
6/7,12,644,27,56.2,2015,9,580,27
13/7,18,488,27.7,53.8,2015,10,644,12
20/7,9,460,28.8,52.8,2015,11,488,18
27/7,0,280,30,45.4,2015,12,460,9
17/5,3,5,30.08,35.42,2016,1,0,0
24/5,9,9,25.2,46,2016,2,5,3
31/5,6,148,26,41.71,2016,3,9,9
7/6,12,324,32.7,27.14,2016,4,148,6
14/6,9,428,29,44.42,2016,5,324,12
21/6,18,304,30,46.28,2016,6,428,9
28/6,9,460,30.71,57,2016,7,304,18
5/7,12,536,29.71,58.42,2016,8,460,9
12/7,9,280,30.14,56.14,2016,9,536,12
19/7,3,440,30.2,50.71,2016,10,280,9
26/7,3,320,30.14,54.42,2016,11,440,3
2/8,0,96,30.28,58.14,2016,12,320,3
